ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.0085719,0.0037189,0.0252671,-0.0119668,0.074573,-0.0402355,0.104479,0.00535714
0.00903732,0.00362161,0.0406415,-0.0117406,0.0720204,-0.0131125,0.105902,0.0107143
0.00951191,0.000904303,0.0504634,-0.0102448,0.0719004,0.00878482,0.106278,0.0160714
0.0100271,-0.00220504,0.0568677,-0.00787509,0.0730024,0.0261848,0.107166,0.0214286
0.0105031,-0.00342629,0.0614132,-0.00621391,0.0728362,0.0414626,0.109203,0.0267857
0.0108355,-0.00312702,0.0648889,-0.00493371,0.0719984,0.0552452,0.110793,0.0321429
0.0110853,-0.0024627,0.0671001,-0.00388319,0.0737322,0.068422,0.110594,0.0375
0.0111436,-0.00079354,0.0700558,-0.00191168,0.0762103,0.0836942,0.107559,0.0428571
0.0112764,0.00109309,0.0731703,0.000931028,0.0776995,0.0985546,0.105631,0.0482143
0.0113013,0.00203572,0.0760868,0.00396247,0.0786557,0.111137,0.103065,0.0535714
0.0108931,0.00346207,0.0773085,0.00669523,0.0776722,0.120619,0.0988354,0.0589286
0.0100006,0.00664112,0.0752497,0.00812155,0.0759057,0.127408,0.0925592,0.0642857
0.00952482,0.00987061,0.0727814,0.00810724,0.0764031,0.133229,0.088952,0.0696429
0.00952657,0.0118044,0.0708578,0.00684687,0.0787197,0.135575,0.0885092,0.075
0.00972044,0.0131543,0.0690631,0.00381262,0.080087,0.135115,0.0908523,0.0803571
0.0100264,0.0143304,0.0677885,7.27903e-05,0.0805516,0.133395,0.0946906,0.0857143
0.0101769,0.0161722,0.0677774,-0.00231131,0.079301,0.129657,0.0973075,0.0910714
0.0101038,0.0180053,0.068241,-0.00225973,0.0762743,0.123175,0.0986413,0.0964286
0.0100774,0.0189598,0.0690853,0.000160921,0.0734966,0.113496,0.0998926,0.101786
0.0104366,0.0186492,0.069996,0.00324814,0.0721514,0.101133,0.103751,0.107143
0.0109214,0.0172053,0.0705792,0.0057104,0.071008,0.0855653,0.108709,0.1125
0.0112918,0.0146876,0.0699015,0.00787064,0.0719735,0.068735,0.111865,0.117857
0.0115317,0.0109026,0.0663454,0.00749155,0.0747048,0.0506071,0.114335,0.123214
0.0115138,0.00697736,0.0597546,0.00351082,0.0763225,0.0315687,0.116701,0.128571
0.0109825,0.00413073,0.0507025,-0.000290715,0.0753562,0.0120171,0.117017,0.133929
0.010001,0.00212066,0.0388996,-0.000932032,0.072643,-0.00813582,0.114809,0.139286
0.00896855,0.0011743,0.0234412,0.00110374,0.0746652,-0.0326033,0.108537,0.144643
0,0,0,0,0,0,0,0.15
